event_id,event_time,sku_id,warehouse_id,movement_type,quantity,source_system
EVT81,2026-03-23 04:47:00,SKU-1730,WH-01,IN,-5,POS
EVT82,2026-02-16 08:06:00,SKU-1324,WH-01,OUT,36,ERP
EVT83,14/01/2026,SKU-1089,WH-02,IN,82,POS
EVT84,2026-01-02 09:26:00,SKU-1567,WH-04,IN,101,POS
EVT85,2026/03/15 16:10,SKU-1797,WH-04,IN,-5,WMS
EVT86,2026-01-09 05:27:00,SKU-1389,,IN,59,POS
EVT87,2026/04/03 20:31,SKU-1431,WH-02,IN,34,WMS
EVT88,20/02/2026,SKU-1631,WH-01,OUT,38,WMS
EVT89,16/04/2026,,WH-02,IN,15,ERP
EVT90,,SKU-1307,WH-01,OUT,113,WMS
EVT91,2026-02-05 12:23:00,SKU-1711,WH-04,OUT,46,ERP
EVT92,,SKU-1954,WH-05,OUT,47,WMS
EVT93,30/03/2026,SKU-1472,WH-02,OUT,18,POS
EVT94,20/01/2026,SKU-1689,WH-01,OUT,50,POS
EVT95,,SKU-1075,WH-02,OUT,101,WMS
EVT96,18/03/2026,SKU-1037,WH-03,OUT,88,ERP
EVT97,2026/03/20 01:36,SKU-1111,WH-03,OUT,26,WMS
EVT98,,SKU-1693,WH-02,IN,58,POS
EVT99,2026-01-29 14:23:00,SKU-1227,WH-02,IN,43,POS
EVT100,,SKU-1474,WH-03,OUT,23,POS
EVT101,2026-01-19 11:19:00,SKU-1425,WH-01,IN,10,POS
EVT102,,SKU-1466,WH-02,IN,21,POS
EVT103,2026/01/03 10:41,SKU-1326,WH-04,INVALID,-5,ERP
EVT104,2026-01-23 17:10:00,SKU-1693,WH-05,OUT,34,POS
EVT105,2026/01/24 05:40,SKU-1573,WH-01,OUT,84,WMS
EVT106,2026/03/17 13:24,SKU-1442,WH-03,OUT,119,ERP
EVT107,2026-01-09 18:06:00,SKU-1721,WH-03,IN,60,WMS
EVT108,2026/04/21 15:33,SKU-1191,WH-02,OUT,50,WMS
EVT109,2026-02-15 14:39:00,SKU-1320,WH-02,OUT,49,ERP
EVT110,2026/01/11 21:08,SKU-1833,WH-01,IN,61,POS
EVT111,,SKU-1120,WH-01,IN,39,WMS
EVT112,30/03/2026,SKU-1141,WH-01,IN,-5,ERP
EVT113,27/02/2026,SKU-1568,WH-01,OUT,61,POS
EVT114,13/03/2026,SKU-1974,WH-01,OUT,42,POS
EVT115,22/01/2026,SKU-1418,WH-03,IN,-5,ERP
EVT116,06/02/2026,SKU-1814,WH-01,OUT,14,POS
EVT117,2026-03-15 03:17:00,SKU-1579,WH-02,IN,29,WMS
EVT118,,SKU-1843,WH-04,OUT,9,ERP
EVT119,2026/01/05 14:16,SKU-1435,WH-03,OUT,108,POS
EVT120,14/04/2026,SKU-1882,WH-04,OUT,19,WMS
EVT121,2026/01/22 19:08,SKU-1602,WH-03,IN,65,ERP
EVT122,2026-03-18 17:10:00,SKU-1833,WH-02,IN,32,POS
EVT123,2026-04-26 21:52:00,SKU-1720,WH-01,INVALID,98,ERP
EVT124,,SKU-1138,WH-02,OUT,13,WMS
EVT125,2026/04/08 21:25,SKU-1886,WH-03,IN,43,POS
EVT126,2026-01-10 20:50:00,SKU-1145,WH-03,OUT,27,ERP
EVT127,2026/02/28 15:20,SKU-1412,WH-03,IN,27,WMS
EVT128,,SKU-1002,WH-03,IN,32,WMS
EVT129,24/02/2026,SKU-1366,WH-02,OUT,30,POS
EVT130,20/04/2026,SKU-1330,WH-02,OUT,15,POS
EVT131,2026/04/18 14:01,SKU-1915,WH-01,IN,13,ERP
EVT132,2026/02/24 06:44,SKU-1951,WH-02,IN,19,ERP
EVT133,12/01/2026,SKU-1903,WH-04,IN,20,POS
EVT134,2026-02-09 23:44:00,SKU-1084,WH-01,OUT,108,ERP
EVT135,10/01/2026,SKU-1439,WH-01,OUT,55,ERP
EVT136,2026/01/16 13:44,SKU-1531,WH-01,INVALID,10,ERP
EVT137,,SKU-1489,WH-01,IN,74,POS
EVT138,2026/01/09 16:36,SKU-1140,WH-03,IN,42,ERP
EVT139,06/04/2026,SKU-1624,WH-02,OUT,38,POS
EVT140,18/01/2026,SKU-1630,WH-01,IN,65,WMS
EVT141,05/02/2026,SKU-1393,WH-01,OUT,79,ERP
EVT142,2026-03-30 00:54:00,SKU-1566,WH-03,IN,56,WMS
EVT143,2026-02-20 09:41:00,SKU-1896,WH-03,INVALID,91,ERP
EVT144,2026/01/31 15:40,SKU-1802,WH-02,OUT,34,WMS
EVT145,17/01/2026,SKU-1072,WH-05,IN,10,WMS
EVT146,2026/04/09 02:01,SKU-1430,WH-01,IN,112,WMS
EVT147,2026/04/12 12:32,SKU-1069,WH-01,OUT,52,POS
EVT148,11/01/2026,SKU-1643,WH-02,IN,29,WMS
EVT149,27/01/2026,SKU-1630,WH-01,IN,-5,POS
EVT150,2026/01/09 09:44,SKU-1400,WH-04,IN,58,POS
EVT151,,SKU-1747,WH-01,OUT,20,WMS
EVT152,,SKU-1623,WH-03,IN,110,ERP
EVT153,2026-04-11 23:16:00,SKU-1718,WH-05,IN,88,ERP
EVT154,2026/04/26 00:21,,WH-03,OUT,59,POS
EVT155,2026-01-10 15:29:00,SKU-1278,WH-03,IN,26,WMS
EVT156,2026-04-09 03:57:00,SKU-1368,WH-01,OUT,97,WMS
EVT157,,SKU-1690,WH-03,OUT,12,ERP
EVT158,,SKU-1483,,IN,44,WMS
EVT159,2026-04-03 10:17:00,SKU-1758,WH-02,OUT,24,ERP
EVT160,,SKU-1585,WH-03,OUT,89,POS
EVT161,2026/02/11 02:35,SKU-1070,WH-01,IN,32,POS
EVT162,2026-03-21 07:29:00,SKU-1008,WH-02,OUT,62,POS
EVT163,2026-03-11 07:09:00,SKU-1605,WH-03,IN,13,ERP
EVT164,2026-03-30 00:21:00,SKU-1954,WH-02,IN,54,ERP
EVT165,,SKU-1777,WH-03,OUT,64,POS
EVT166,2026/04/28 07:57,SKU-1503,WH-03,OUT,3,WMS
EVT167,2026/03/16 03:32,SKU-1422,WH-02,IN,16,ERP
EVT168,,SKU-1652,WH-03,OUT,7,POS
EVT169,,SKU-1267,WH-04,IN,34,POS
EVT170,2026/01/14 04:06,SKU-1278,WH-01,IN,50,ERP
EVT171,09/04/2026,SKU-1460,WH-01,OUT,36,POS
EVT172,2026-02-08 22:44:00,SKU-1474,WH-01,IN,40,WMS
EVT173,15/02/2026,SKU-1041,WH-01,IN,66,ERP
EVT174,2026-02-27 17:47:00,SKU-1693,WH-01,OUT,47,WMS
EVT175,,SKU-1255,WH-04,OUT,38,ERP
EVT176,2026/03/24 02:37,SKU-1133,WH-02,IN,76,WMS
EVT177,2026-04-26 20:28:00,SKU-1265,WH-01,OUT,9,ERP
EVT178,2026-01-07 05:59:00,SKU-1094,,IN,26,WMS
EVT179,,SKU-1443,WH-02,OUT,17,ERP
EVT180,2026/03/20 19:39,SKU-1930,WH-02,OUT,60,ERP
EVT181,2026-01-12 08:24:00,SKU-1662,WH-04,IN,77,ERP
EVT182,11/03/2026,SKU-1429,WH-01,IN,92,WMS
EVT183,2026/03/06 10:24,SKU-1367,WH-02,IN,60,POS
EVT184,2026/04/10 08:03,SKU-1184,WH-01,IN,101,POS
EVT185,2026-01-13 07:42:00,SKU-1542,WH-05,IN,99,ERP
EVT186,2026/01/29 18:54,SKU-1272,WH-04,OUT,60,POS
EVT187,2026-04-14 23:44:00,SKU-1363,WH-01,IN,16,POS
EVT188,,SKU-1935,WH-03,IN,55,ERP
EVT189,,SKU-1856,WH-05,IN,15,ERP
EVT190,12/02/2026,SKU-1057,WH-01,IN,53,ERP
EVT191,,SKU-1348,WH-04,IN,34,WMS
EVT192,,SKU-1721,WH-04,IN,12,WMS
EVT193,,SKU-1405,WH-01,OUT,31,WMS
EVT194,2026-03-30 19:50:00,SKU-1983,WH-01,IN,30,POS
EVT195,,SKU-1228,WH-01,OUT,62,ERP
EVT196,09/04/2026,SKU-1746,WH-05,OUT,114,ERP
EVT197,30/04/2026,SKU-1616,WH-01,IN,103,POS
EVT198,24/04/2026,SKU-1763,WH-05,OUT,69,WMS
EVT199,27/01/2026,SKU-1686,WH-02,OUT,66,ERP
EVT200,2026/02/26 23:26,SKU-1358,WH-03,OUT,38,ERP
EVT201,2026/04/17 15:50,SKU-1905,WH-02,OUT,73,WMS
EVT202,2026-04-13 01:18:00,SKU-1666,WH-01,OUT,29,ERP
EVT203,2026-04-24 12:10:00,SKU-1326,WH-01,OUT,41,WMS
EVT204,2026-03-20 15:45:00,SKU-1076,WH-05,OUT,67,ERP
EVT205,07/01/2026,SKU-1441,WH-03,IN,15,ERP
EVT206,2026-03-11 08:42:00,SKU-1997,WH-02,IN,114,POS
EVT207,2026-03-04 04:03:00,SKU-1304,WH-02,IN,31,POS
EVT208,,SKU-1003,WH-04,OUT,100,ERP
EVT209,2026-04-19 03:19:00,SKU-1026,WH-01,OUT,106,POS
EVT210,,SKU-1482,,IN,52,POS
EVT211,2026/01/29 08:36,SKU-1378,WH-01,IN,30,ERP
EVT212,14/04/2026,SKU-1154,WH-01,IN,26,WMS
EVT213,2026/03/10 21:55,SKU-1232,WH-02,IN,63,POS
EVT214,,SKU-1586,WH-01,OUT,35,WMS
EVT215,16/01/2026,SKU-1584,WH-03,IN,41,ERP
EVT216,29/03/2026,SKU-1995,WH-01,IN,49,WMS
EVT217,,SKU-1151,WH-01,IN,13,POS
EVT218,,SKU-1569,WH-04,IN,66,WMS
EVT219,,SKU-1638,WH-02,OUT,60,WMS
EVT220,2026/01/13 09:55,SKU-1776,WH-05,IN,2,WMS
EVT221,2026-03-15 19:30:00,SKU-1901,WH-01,IN,77,ERP
EVT222,21/02/2026,SKU-1176,WH-03,IN,43,POS
EVT223,,SKU-1707,WH-02,OUT,120,POS
EVT224,,SKU-1318,,INVALID,87,POS
EVT225,2026-02-23 19:41:00,SKU-1997,WH-04,OUT,-5,ERP
EVT226,,SKU-1192,WH-03,IN,77,ERP
EVT227,2026/01/18 16:56,SKU-1527,WH-01,IN,7,WMS
EVT228,,SKU-1029,WH-04,OUT,50,POS
EVT229,2026-03-23 03:43:00,SKU-1721,WH-04,IN,72,ERP
EVT230,,SKU-1247,WH-02,IN,101,POS
EVT231,06/02/2026,SKU-1352,WH-03,IN,58,ERP
EVT232,2026/03/24 07:43,SKU-1166,WH-05,IN,29,ERP
EVT233,2026-04-09 21:00:00,SKU-1275,,OUT,119,POS
EVT234,2026-02-02 19:51:00,SKU-1933,WH-03,OUT,47,POS
EVT235,20/04/2026,SKU-1729,WH-01,IN,11,POS
EVT236,2026/03/16 03:00,,WH-02,IN,53,WMS
EVT237,2026/03/19 09:19,SKU-1678,WH-02,IN,14,WMS
EVT238,2026/04/21 08:16,SKU-1110,WH-05,IN,31,WMS
EVT239,2026/01/31 01:51,SKU-1728,WH-01,IN,24,WMS
EVT240,05/03/2026,SKU-1413,WH-01,OUT,53,POS
EVT241,2026/04/15 06:21,SKU-1414,WH-03,IN,29,WMS
EVT242,2026/05/01 21:22,SKU-1730,WH-03,IN,93,WMS
EVT243,2026-02-07 03:30:00,SKU-1307,WH-03,IN,31,ERP
EVT244,,SKU-1758,WH-03,OUT,96,ERP
EVT245,2026/04/24 10:23,SKU-1227,WH-04,IN,120,POS
EVT246,2026-03-16 18:39:00,SKU-1599,WH-02,IN,40,ERP
EVT247,,SKU-1483,WH-01,IN,37,ERP
EVT248,,SKU-1891,WH-05,OUT,9,POS
EVT249,23/01/2026,SKU-1883,WH-01,OUT,29,ERP
EVT250,,SKU-1004,WH-03,OUT,23,ERP
EVT251,03/03/2026,SKU-1132,WH-02,IN,50,ERP
EVT252,,SKU-1546,WH-05,IN,72,ERP
EVT253,,SKU-1692,WH-01,IN,118,ERP
EVT254,08/02/2026,SKU-1392,WH-01,IN,29,WMS
EVT255,,SKU-1532,WH-02,IN,31,POS
EVT256,,SKU-1367,,IN,10,ERP
EVT257,,SKU-1744,WH-03,IN,4,WMS
EVT258,09/04/2026,SKU-1666,WH-04,OUT,52,ERP
EVT259,2026-01-07 22:07:00,SKU-1608,WH-01,IN,11,POS
EVT260,2026-01-27 22:43:00,SKU-1454,WH-01,IN,95,WMS
EVT261,2026/03/21 19:44,SKU-1009,WH-01,IN,109,ERP
EVT262,2026-01-16 09:07:00,SKU-1428,WH-02,OUT,99,ERP
EVT263,2026/01/26 11:45,SKU-1509,WH-03,IN,50,POS
EVT264,,SKU-1302,WH-02,OUT,95,ERP
EVT265,27/03/2026,SKU-1002,WH-04,IN,36,ERP
EVT266,24/03/2026,SKU-1798,WH-03,IN,56,POS
EVT267,,SKU-1270,WH-04,IN,16,WMS
EVT268,,SKU-1320,WH-01,IN,39,ERP
EVT269,,SKU-1679,WH-02,IN,31,WMS
EVT270,,SKU-1095,WH-01,OUT,68,POS
EVT271,2026-01-22 03:08:00,SKU-1706,WH-02,IN,30,WMS
EVT272,,SKU-1743,WH-01,IN,45,POS
EVT273,2026-03-29 23:57:00,SKU-1185,WH-02,OUT,59,ERP
EVT274,09/01/2026,SKU-1494,WH-04,IN,12,POS
EVT275,03/04/2026,SKU-1012,WH-02,IN,26,WMS
EVT276,,SKU-1894,WH-03,IN,91,ERP
EVT277,,SKU-1493,WH-03,OUT,111,WMS
EVT278,2026-03-05 05:04:00,SKU-1055,WH-02,IN,45,POS
EVT279,2026-03-24 12:25:00,SKU-1328,WH-01,OUT,60,ERP
EVT280,2026-03-05 14:20:00,SKU-1080,WH-02,OUT,61,ERP
EVT281,,SKU-1509,WH-01,OUT,5,ERP
EVT282,,SKU-1810,WH-03,IN,49,WMS
EVT283,2026/04/19 14:21,SKU-1467,WH-04,IN,28,WMS
EVT284,2026/04/02 14:07,SKU-1785,,OUT,66,ERP
EVT285,2026/04/13 09:35,SKU-1777,WH-02,IN,10,WMS
EVT286,2026-04-16 22:47:00,SKU-1382,WH-04,IN,6,WMS
EVT287,2026-04-20 12:13:00,SKU-1419,WH-01,OUT,103,POS
EVT288,2026/01/06 20:53,SKU-1844,WH-02,IN,27,WMS
EVT289,2026-03-06 04:31:00,SKU-1602,WH-02,IN,82,ERP
EVT290,2026/03/03 16:49,SKU-1543,WH-05,IN,-5,ERP
EVT291,26/03/2026,SKU-1708,WH-04,OUT,56,POS
EVT292,08/04/2026,SKU-1516,WH-05,IN,31,POS
EVT293,2026/02/22 19:44,SKU-1986,WH-02,OUT,62,WMS
EVT294,05/04/2026,SKU-1524,WH-02,OUT,114,ERP
EVT295,2026/03/28 04:45,SKU-1205,WH-01,OUT,116,WMS
EVT296,2026/04/01 03:48,SKU-1998,WH-02,INVALID,37,POS
EVT297,,SKU-1575,WH-05,IN,46,WMS
EVT298,,SKU-1292,WH-04,OUT,86,ERP
EVT299,2026-01-21 09:43:00,SKU-1054,WH-01,OUT,120,POS
EVT300,2026-03-11 01:22:00,SKU-1149,WH-04,OUT,27,POS
EVT301,,SKU-1104,WH-03,IN,53,POS
EVT302,2026-03-27 01:59:00,SKU-1243,WH-04,OUT,60,POS
EVT303,,SKU-1396,WH-01,IN,112,ERP
EVT304,2026/04/27 20:45,SKU-1635,WH-04,IN,32,WMS
EVT305,2026-04-10 23:12:00,SKU-1663,WH-02,IN,100,POS
EVT306,2026/04/05 16:07,SKU-1459,WH-01,IN,112,POS
EVT307,,SKU-1041,WH-01,OUT,96,POS
EVT308,,SKU-1477,WH-01,IN,9,WMS
EVT309,15/02/2026,SKU-1630,WH-02,IN,14,WMS
EVT310,2026-01-21 13:34:00,SKU-1325,WH-02,IN,-5,WMS
EVT311,2026/02/12 11:18,SKU-1413,WH-04,IN,53,ERP
EVT312,2026-04-07 20:00:00,SKU-1973,WH-02,IN,21,ERP
EVT313,,SKU-1684,WH-04,IN,55,WMS
EVT314,06/02/2026,SKU-1906,WH-02,IN,39,WMS
EVT315,2026/01/06 09:57,SKU-1841,WH-04,IN,21,WMS
EVT316,09/04/2026,SKU-1197,WH-05,OUT,35,ERP
EVT317,,SKU-1641,WH-03,OUT,110,ERP
EVT318,,SKU-1210,WH-04,IN,54,ERP
EVT319,2026-01-12 02:03:00,SKU-1764,WH-02,OUT,-5,ERP
EVT320,2026-02-03 13:24:00,SKU-1813,WH-02,OUT,34,POS
EVT321,,SKU-1645,WH-01,IN,65,WMS
EVT322,10/01/2026,SKU-1633,WH-03,IN,120,WMS
EVT323,08/04/2026,SKU-1108,WH-01,OUT,112,POS
EVT324,2026-04-06 12:50:00,SKU-1841,WH-01,OUT,40,WMS
EVT325,2026/04/12 23:41,SKU-1302,WH-01,IN,3,POS
EVT326,,SKU-1980,WH-04,OUT,40,WMS
EVT327,,SKU-1403,WH-01,OUT,70,ERP
EVT328,20/03/2026,SKU-1422,WH-01,OUT,37,ERP
EVT329,2026-04-30 17:29:00,,WH-04,IN,46,WMS
EVT330,,SKU-1562,WH-01,OUT,110,POS
EVT331,2026-01-09 06:20:00,SKU-1365,WH-01,INVALID,108,POS
EVT332,2026-03-14 18:23:00,SKU-1461,WH-01,IN,109,POS
EVT333,02/04/2026,SKU-1981,WH-01,IN,25,POS
EVT334,,SKU-1283,WH-03,OUT,9,POS
EVT335,2026-01-11 08:54:00,SKU-1793,WH-01,IN,95,ERP
EVT336,2026/04/04 02:57,SKU-1912,WH-03,IN,26,ERP
EVT337,2026/04/09 18:13,SKU-1869,WH-04,IN,11,ERP
EVT338,2026/01/20 11:25,SKU-1564,WH-02,OUT,-5,ERP
EVT339,2026/03/06 16:05,SKU-1912,WH-04,OUT,28,POS
EVT340,20/03/2026,,WH-01,IN,52,WMS
EVT341,2026/04/22 04:47,SKU-1143,WH-02,IN,47,WMS
EVT342,09/01/2026,SKU-1495,WH-01,IN,7,ERP
EVT343,,SKU-1043,WH-04,OUT,43,ERP
EVT344,23/03/2026,SKU-1040,WH-01,IN,6,WMS
EVT345,16/02/2026,SKU-1269,WH-01,IN,-5,ERP
EVT346,2026-04-22 11:31:00,SKU-1529,WH-02,OUT,53,POS
EVT347,2026/01/30 02:32,SKU-1908,WH-04,IN,42,WMS
EVT348,2026/04/15 03:42,SKU-1287,WH-01,IN,48,ERP
EVT349,2026/03/03 06:37,SKU-1424,WH-01,IN,28,ERP
EVT350,17/03/2026,SKU-1662,WH-01,OUT,5,WMS
EVT351,2026-04-29 05:33:00,SKU-1524,WH-01,OUT,-5,POS
EVT352,,SKU-1613,WH-01,IN,11,ERP
EVT353,,SKU-1459,WH-04,OUT,-5,ERP
EVT354,2026/02/03 05:46,SKU-1813,WH-01,IN,59,WMS
EVT355,19/02/2026,SKU-1350,WH-03,OUT,43,ERP
EVT356,2026/04/16 04:38,SKU-1207,WH-02,OUT,73,ERP
EVT357,2026-03-10 16:48:00,SKU-1181,WH-03,IN,49,ERP
EVT358,2026/01/01 21:41,SKU-1095,WH-04,IN,18,POS
EVT359,01/05/2026,,WH-03,IN,30,POS
EVT360,,SKU-1358,WH-04,IN,57,ERP
EVT361,,SKU-1260,WH-04,OUT,24,POS
EVT362,16/01/2026,SKU-1193,WH-04,IN,120,POS
EVT363,24/02/2026,SKU-1670,WH-02,OUT,65,POS
EVT364,,SKU-1267,WH-02,IN,18,ERP
EVT365,2026-03-13 15:16:00,SKU-1423,WH-02,OUT,45,POS
EVT366,2026/04/21 21:07,SKU-1591,WH-02,OUT,115,WMS
EVT367,2026/03/07 12:50,SKU-1235,WH-05,OUT,114,POS
EVT368,19/02/2026,SKU-1820,WH-03,INVALID,54,ERP
EVT369,2026-01-29 11:05:00,SKU-1843,WH-02,OUT,101,WMS
EVT370,2026-03-08 09:45:00,SKU-1038,WH-05,IN,34,WMS
EVT371,,SKU-1058,WH-03,IN,16,WMS
EVT372,2026/01/30 19:10,SKU-1292,WH-02,OUT,109,WMS
EVT373,2026/02/05 12:22,SKU-1036,WH-01,OUT,108,WMS
EVT374,09/01/2026,SKU-1404,WH-02,IN,50,POS
EVT375,2026-04-15 08:14:00,SKU-1743,WH-03,OUT,34,WMS
EVT376,2026/02/22 16:06,SKU-1986,WH-02,OUT,76,WMS
EVT377,02/02/2026,SKU-1074,WH-05,IN,31,WMS
EVT378,,SKU-1256,WH-02,IN,34,POS
EVT379,,SKU-1697,WH-04,IN,47,WMS
EVT380,2026-02-22 11:33:00,SKU-1807,WH-03,IN,11,WMS
EVT381,28/03/2026,SKU-1009,WH-01,OUT,13,POS
EVT382,25/04/2026,SKU-1077,WH-02,OUT,21,ERP
EVT383,,SKU-1969,WH-04,IN,34,ERP
EVT384,21/03/2026,SKU-1893,WH-01,OUT,54,ERP
EVT385,,SKU-1122,WH-03,OUT,117,POS
EVT386,2026/03/15 08:31,SKU-1380,,IN,41,ERP
EVT387,2026/01/17 01:33,SKU-1782,WH-02,IN,22,POS
EVT388,2026/03/29 05:29,SKU-1489,WH-02,OUT,7,ERP
EVT389,2026/01/27 12:37,SKU-1715,WH-03,OUT,30,ERP
EVT390,,SKU-1333,WH-01,OUT,58,POS
EVT391,2026/02/17 11:54,SKU-1374,WH-01,IN,79,POS
EVT392,30/01/2026,SKU-1286,WH-01,IN,46,POS
EVT393,2026/04/13 23:09,SKU-1823,WH-04,OUT,80,POS
EVT394,19/04/2026,SKU-1825,WH-02,IN,78,WMS
EVT395,,SKU-1737,WH-01,IN,87,ERP
EVT396,,SKU-1707,WH-04,IN,52,WMS
EVT397,2026/02/02 11:01,SKU-1342,WH-02,IN,71,POS
EVT398,15/03/2026,SKU-1124,WH-05,OUT,111,WMS
EVT399,04/03/2026,SKU-1178,WH-02,IN,5,ERP
EVT400,2026/01/22 20:51,SKU-1390,WH-03,OUT,39,POS
EVT401,11/01/2026,SKU-1431,WH-02,IN,46,ERP
EVT402,20/02/2026,SKU-1321,WH-03,IN,62,POS
EVT403,2026/02/27 13:10,SKU-1799,WH-03,IN,16,ERP
EVT404,2026/04/06 22:47,SKU-1874,WH-01,OUT,118,ERP
EVT405,2026/03/02 17:03,SKU-1215,WH-01,IN,38,ERP
EVT406,2026-01-11 20:59:00,SKU-1789,WH-01,IN,35,POS
EVT407,,SKU-1316,WH-01,IN,119,ERP
EVT408,2026-03-02 14:55:00,SKU-1029,WH-04,OUT,70,WMS
EVT409,2026/03/11 05:37,SKU-1957,WH-01,IN,81,WMS
