sku_id,category,unit_cost,reorder_point
SKU-1147,APPAREL,1177.42,69
SKU-1148,SPORTS,320.49,42
SKU-1149,HOME,180.59,77
SKU-1150,GROCERY,65.65,153
SKU-1151,ELECTRONICS,5652.95,76
SKU-1152,APPAREL,289.43,91
SKU-1153,SPORTS,1112.96,50
SKU-1154,HOME,582.0,119
SKU-1155,GROCERY,87.39,276
SKU-1156,ELECTRONICS,5916.04,71
SKU-1157,APPAREL,1050.17,61
SKU-1158,SPORTS,1769.3,100
SKU-1159,HOME,429.32,134
SKU-1160,GROCERY,21.39,154
SKU-1161,ELECTRONICS,2175.22,76
SKU-1162,APPAREL,339.15,130
SKU-1163,SPORTS,641.99,66
SKU-1164,HOME,765.31,93
SKU-1165,GROCERY,32.4,282
SKU-1166,ELECTRONICS,5235.15,52
SKU-1167,APPAREL,835.09,66
SKU-1168,SPORTS,503.06,84
SKU-1169,HOME,1012.28,55
SKU-1170,GROCERY,10.39,153
SKU-1171,ELECTRONICS,4112.99,36
SKU-1172,APPAREL,410.06,116
SKU-1173,SPORTS,1513.7,84
SKU-1174,HOME,717.0,64
SKU-1175,GROCERY,18.28,296
SKU-1176,ELECTRONICS,5500.43,54
SKU-1177,APPAREL,246.84,107
SKU-1178,SPORTS,1581.52,48
SKU-1179,HOME,572.77,55
SKU-1180,GROCERY,43.91,130
SKU-1181,ELECTRONICS,5474.41,33
SKU-1182,APPAREL,1086.69,145
SKU-1183,SPORTS,526.15,82
SKU-1184,HOME,1171.22,69
SKU-1185,GROCERY,111.83,180
SKU-1186,ELECTRONICS,5295.95,71
SKU-1187,APPAREL,1254.0,112
SKU-1188,SPORTS,354.53,72
SKU-1189,HOME,960.63,102
SKU-1190,GROCERY,98.25,183
SKU-1191,ELECTRONICS,2187.39,70
SKU-1192,APPAREL,1111.66,108
SKU-1193,SPORTS,2218.77,90
SKU-1194,HOME,344.68,108
SKU-1195,GROCERY,48.46,178
SKU-1196,ELECTRONICS,1959.2,62
SKU-1197,APPAREL,451.07,102
SKU-1198,SPORTS,912.93,38
SKU-1199,HOME,1163.58,85
SKU-1200,GROCERY,48.63,250
SKU-1201,ELECTRONICS,2878.33,73
SKU-1202,APPAREL,897.08,63
SKU-1203,SPORTS,553.75,63
SKU-1204,HOME,296.42,83
SKU-1205,GROCERY,14.21,272
SKU-1206,ELECTRONICS,3059.73,66
SKU-1207,APPAREL,1222.36,115
SKU-1208,SPORTS,1633.66,95
SKU-1209,HOME,227.21,123
SKU-1210,GROCERY,30.91,131
SKU-1211,ELECTRONICS,4485.68,20
SKU-1212,APPAREL,875.9,128
SKU-1213,SPORTS,1811.09,55
SKU-1214,HOME,500.64,58
SKU-1215,GROCERY,114.38,204
SKU-1216,ELECTRONICS,4040.41,62
SKU-1217,APPAREL,1302.42,152
SKU-1218,SPORTS,2280.1,94
SKU-1219,HOME,440.21,102
SKU-1220,GROCERY,45.88,298
SKU-1221,ELECTRONICS,2337.41,28
SKU-1222,APPAREL,449.39,145
SKU-1223,SPORTS,2368.8,52
SKU-1224,HOME,777.07,88
SKU-1225,GROCERY,54.67,120
SKU-1226,ELECTRONICS,2380.15,33
SKU-1227,APPAREL,758.85,134
SKU-1228,SPORTS,1634.66,71
SKU-1229,HOME,611.49,106
SKU-1230,GROCERY,84.32,250
SKU-1231,ELECTRONICS,3260.57,77
SKU-1232,APPAREL,1447.78,154
SKU-1233,SPORTS,673.32,40
SKU-1234,HOME,412.17,134
SKU-1235,GROCERY,79.62,205
SKU-1236,ELECTRONICS,1285.61,80
SKU-1237,APPAREL,1176.48,146
SKU-1238,SPORTS,982.92,55
SKU-1239,HOME,262.09,55
SKU-1240,GROCERY,36.93,241
SKU-1241,ELECTRONICS,3978.62,69
SKU-1242,APPAREL,294.68,113
SKU-1243,SPORTS,2249.5,54
SKU-1244,HOME,890.18,99
SKU-1245,GROCERY,64.38,182
SKU-1246,ELECTRONICS,1567.37,64
SKU-1247,APPAREL,207.21,156
SKU-1248,SPORTS,2192.97,43
SKU-1249,HOME,956.26,78
SKU-1250,GROCERY,29.35,298
SKU-1251,ELECTRONICS,3493.38,23
SKU-1252,APPAREL,924.63,75
SKU-1253,SPORTS,1304.22,89
SKU-1254,HOME,834.34,121
SKU-1255,GROCERY,75.5,233
SKU-1256,ELECTRONICS,3985.79,66
SKU-1257,APPAREL,1359.63,114
SKU-1258,SPORTS,2127.25,100
SKU-1259,HOME,590.5,70
SKU-1260,GROCERY,91.8,241
SKU-1261,ELECTRONICS,3140.36,68
SKU-1262,APPAREL,521.41,141
SKU-1263,SPORTS,910.08,96
SKU-1264,HOME,633.06,80
SKU-1265,GROCERY,40.21,139
SKU-1266,ELECTRONICS,4510.43,35
SKU-1267,APPAREL,553.23,100
SKU-1268,SPORTS,2264.66,40
SKU-1269,HOME,252.21,79
SKU-1270,GROCERY,52.13,159
SKU-1271,ELECTRONICS,4473.38,24
SKU-1272,APPAREL,739.33,102
SKU-1273,SPORTS,1493.74,83
SKU-1274,HOME,168.49,103
SKU-1275,GROCERY,52.84,269
SKU-1276,ELECTRONICS,5719.52,21
SKU-1277,APPAREL,1313.75,157
SKU-1278,SPORTS,1566.52,91
SKU-1279,HOME,106.49,95
SKU-1280,GROCERY,42.85,219
SKU-1281,ELECTRONICS,5237.93,73
SKU-1282,APPAREL,744.73,155
SKU-1283,SPORTS,1916.19,58
SKU-1284,HOME,637.05,84
SKU-1285,GROCERY,57.94,127
SKU-1286,ELECTRONICS,2822.06,62
SKU-1287,APPAREL,1082.88,111
SKU-1288,SPORTS,1893.2,89
SKU-1289,HOME,1111.5,129
SKU-1290,GROCERY,68.75,220
SKU-1291,ELECTRONICS,3877.84,62
SKU-1292,APPAREL,235.23,142
SKU-1293,SPORTS,1242.95,89
SKU-1294,HOME,299.9,83
SKU-1295,GROCERY,51.7,174
SKU-1296,ELECTRONICS,3164.44,41
SKU-1297,APPAREL,1189.6,108
SKU-1298,SPORTS,912.16,83
SKU-1299,HOME,377.5,60
SKU-1300,GROCERY,61.73,258
SKU-1301,ELECTRONICS,1070.85,80
SKU-1302,APPAREL,654.95,143
SKU-1303,SPORTS,450.96,35
SKU-1304,HOME,929.66,81
SKU-1305,GROCERY,31.93,125
SKU-1306,ELECTRONICS,4030.95,35
SKU-1307,APPAREL,364.09,145
SKU-1308,SPORTS,551.66,57
SKU-1309,HOME,611.54,82
SKU-1310,GROCERY,94.36,162
SKU-1311,ELECTRONICS,3950.64,67
SKU-1312,APPAREL,1133.86,159
SKU-1313,SPORTS,2102.46,69
SKU-1314,HOME,218.91,53
SKU-1315,GROCERY,112.18,267
SKU-1316,ELECTRONICS,4322.21,44
SKU-1317,APPAREL,715.65,151
SKU-1318,SPORTS,736.33,61
SKU-1319,HOME,212.09,88
SKU-1320,GROCERY,103.53,273
SKU-1321,ELECTRONICS,4988.75,70
SKU-1322,APPAREL,1479.0,160
SKU-1323,SPORTS,390.35,98
SKU-1324,HOME,571.22,97
SKU-1325,GROCERY,17.59,285
SKU-1326,ELECTRONICS,2574.4,74
SKU-1327,APPAREL,746.08,122
SKU-1328,SPORTS,532.19,76
SKU-1329,HOME,799.14,108
SKU-1330,GROCERY,87.8,231
SKU-1331,ELECTRONICS,1715.91,53
SKU-1332,APPAREL,1455.12,94
SKU-1333,SPORTS,1655.01,98
SKU-1334,HOME,952.11,109
SKU-1335,GROCERY,57.91,271
SKU-1336,ELECTRONICS,2195.66,74
SKU-1337,APPAREL,519.14,71
SKU-1338,SPORTS,913.64,87
SKU-1339,HOME,368.25,109
SKU-1340,GROCERY,72.68,291
SKU-1341,ELECTRONICS,2770.74,21
SKU-1342,APPAREL,842.6,101
SKU-1343,SPORTS,700.05,57
SKU-1344,HOME,490.31,83
SKU-1345,GROCERY,47.44,272
SKU-1346,ELECTRONICS,4446.16,37
SKU-1347,APPAREL,922.53,126
SKU-1348,SPORTS,2385.74,40
SKU-1349,HOME,365.49,102
SKU-1350,GROCERY,63.74,181
SKU-1351,ELECTRONICS,4391.17,61
SKU-1352,APPAREL,1125.4,117
SKU-1353,SPORTS,2044.45,41
SKU-1354,HOME,423.66,101
SKU-1355,GROCERY,86.1,198
SKU-1356,ELECTRONICS,4252.59,43
SKU-1357,APPAREL,815.24,127
SKU-1358,SPORTS,1056.27,100
SKU-1359,HOME,463.87,139
SKU-1360,GROCERY,59.91,198
SKU-1361,ELECTRONICS,2107.3,27
SKU-1362,APPAREL,1137.67,100
SKU-1363,SPORTS,563.02,98
SKU-1364,HOME,1145.97,138
SKU-1365,GROCERY,30.37,175
SKU-1366,ELECTRONICS,4640.74,37
SKU-1367,APPAREL,1141.96,157
SKU-1368,SPORTS,1454.2,66
SKU-1369,HOME,1178.56,74
SKU-1370,GROCERY,42.59,212
SKU-1371,ELECTRONICS,1733.1,20
SKU-1372,APPAREL,1120.42,76
SKU-1373,SPORTS,903.48,36
SKU-1374,HOME,708.69,139
SKU-1375,GROCERY,113.85,283
SKU-1376,ELECTRONICS,5316.0,51
SKU-1377,APPAREL,333.36,61
SKU-1378,SPORTS,1562.94,90
SKU-1379,HOME,626.59,93
SKU-1380,GROCERY,30.28,133
SKU-1381,ELECTRONICS,2112.89,75
SKU-1382,APPAREL,821.05,68
SKU-1383,SPORTS,1181.56,39
SKU-1384,HOME,734.72,137
SKU-1385,GROCERY,15.9,158
SKU-1386,ELECTRONICS,5017.94,80
SKU-1387,APPAREL,594.99,91
SKU-1388,SPORTS,560.59,83
SKU-1389,HOME,766.95,129
SKU-1390,GROCERY,34.83,253
SKU-1391,ELECTRONICS,2777.97,78
SKU-1392,APPAREL,775.54,135
SKU-1393,SPORTS,2478.07,69
SKU-1394,HOME,725.49,57
SKU-1395,GROCERY,77.06,145
SKU-1396,ELECTRONICS,5727.47,33
SKU-1397,APPAREL,1013.17,93
SKU-1398,SPORTS,1752.94,50
SKU-1399,HOME,363.85,120
SKU-1400,GROCERY,18.26,120
SKU-1401,ELECTRONICS,2924.29,64
SKU-1402,APPAREL,971.95,97
SKU-1403,SPORTS,371.81,66
SKU-1404,HOME,877.65,139
SKU-1405,GROCERY,104.56,138
SKU-1406,ELECTRONICS,4374.4,79
SKU-1407,APPAREL,543.92,140
SKU-1408,SPORTS,1597.54,55
SKU-1409,HOME,567.65,119
SKU-1410,GROCERY,34.73,158
SKU-1411,ELECTRONICS,5523.74,72
SKU-1412,APPAREL,384.91,67
SKU-1413,SPORTS,665.03,69
SKU-1414,HOME,754.55,122
SKU-1415,GROCERY,111.33,232
SKU-1416,ELECTRONICS,1446.64,64
SKU-1417,APPAREL,595.32,111
SKU-1418,SPORTS,2373.89,94
SKU-1419,HOME,693.98,106
SKU-1420,GROCERY,18.85,130
SKU-1421,ELECTRONICS,5425.0,67
SKU-1422,APPAREL,619.02,92
SKU-1423,SPORTS,356.9,59
SKU-1424,HOME,1158.1,123
SKU-1425,GROCERY,74.58,125
SKU-1426,ELECTRONICS,5997.78,63
SKU-1427,APPAREL,1267.85,133
SKU-1428,SPORTS,388.51,52
SKU-1429,HOME,617.55,133
SKU-1430,GROCERY,58.65,191
SKU-1431,ELECTRONICS,1743.74,57
SKU-1432,APPAREL,766.65,122
SKU-1433,SPORTS,2431.92,90
SKU-1434,HOME,482.76,92
SKU-1435,GROCERY,45.32,146
SKU-1436,ELECTRONICS,5260.21,41
SKU-1437,APPAREL,735.14,123
SKU-1438,SPORTS,934.08,81
SKU-1439,HOME,994.92,120
SKU-1440,GROCERY,14.04,142
SKU-1441,ELECTRONICS,2435.49,40
SKU-1442,APPAREL,350.7,158
SKU-1443,SPORTS,1189.19,95
SKU-1444,HOME,1007.42,50
SKU-1445,GROCERY,82.34,258
SKU-1446,ELECTRONICS,3202.28,23
SKU-1447,APPAREL,443.86,106
SKU-1448,SPORTS,1669.79,93
SKU-1449,HOME,787.95,56
SKU-1450,GROCERY,32.39,260
SKU-1451,ELECTRONICS,1481.27,38
SKU-1452,APPAREL,769.55,149
SKU-1453,SPORTS,1366.37,33
SKU-1454,HOME,1170.46,127
SKU-1455,GROCERY,97.92,160
SKU-1456,ELECTRONICS,2415.9,20
SKU-1457,APPAREL,917.93,71
SKU-1458,SPORTS,794.34,44
SKU-1459,HOME,607.59,65
SKU-1460,GROCERY,81.25,159
SKU-1461,ELECTRONICS,3391.55,65
SKU-1462,APPAREL,579.42,150
SKU-1463,SPORTS,901.53,91
SKU-1464,HOME,1178.27,81
SKU-1465,GROCERY,60.25,157
SKU-1466,ELECTRONICS,2794.65,78
SKU-1467,APPAREL,979.19,155
SKU-1468,SPORTS,2234.52,38
SKU-1469,HOME,403.87,103
SKU-1470,GROCERY,47.39,249
SKU-1471,ELECTRONICS,2189.3,20
SKU-1472,APPAREL,567.69,98
SKU-1473,SPORTS,2142.45,92
SKU-1474,HOME,1051.79,107
SKU-1475,GROCERY,69.24,208
SKU-1476,ELECTRONICS,2528.69,68
SKU-1477,APPAREL,906.46,118
SKU-1478,SPORTS,2352.27,54
SKU-1479,HOME,1178.85,80
SKU-1480,GROCERY,72.9,179
SKU-1481,ELECTRONICS,5251.27,46
SKU-1482,APPAREL,256.74,155
SKU-1483,SPORTS,1340.55,78
SKU-1484,HOME,524.69,134
SKU-1485,GROCERY,97.16,286
SKU-1486,ELECTRONICS,5900.25,51
SKU-1487,APPAREL,1454.27,76
SKU-1488,SPORTS,1405.04,72
SKU-1489,HOME,1056.67,106
SKU-1490,GROCERY,20.97,236
SKU-1491,ELECTRONICS,879.81,29
SKU-1492,APPAREL,732.97,143
SKU-1493,SPORTS,2433.9,39
SKU-1494,HOME,616.44,83
SKU-1495,GROCERY,47.24,297
SKU-1496,ELECTRONICS,2866.91,25
SKU-1497,APPAREL,1307.29,146
SKU-1498,SPORTS,2190.55,78
SKU-1499,HOME,1149.55,130
SKU-1500,GROCERY,89.06,244
SKU-1501,ELECTRONICS,5336.39,22
SKU-1502,APPAREL,1002.7,90
SKU-1503,SPORTS,1688.55,66
SKU-1504,HOME,1197.17,61
SKU-1505,GROCERY,57.74,145
SKU-1506,ELECTRONICS,4753.92,65
SKU-1507,APPAREL,1334.35,116
SKU-1508,SPORTS,666.0,68
SKU-1509,HOME,1093.77,55
SKU-1510,GROCERY,45.68,134
SKU-1511,ELECTRONICS,2325.51,43
SKU-1512,APPAREL,759.89,91
SKU-1513,SPORTS,1468.57,53
SKU-1514,HOME,286.98,60
SKU-1515,GROCERY,77.04,217
SKU-1516,ELECTRONICS,4022.49,35
SKU-1517,APPAREL,846.97,134
SKU-1518,SPORTS,614.86,89
SKU-1519,HOME,801.7,108
SKU-1520,GROCERY,38.09,122
SKU-1521,ELECTRONICS,5474.32,49
SKU-1522,APPAREL,1371.57,146
SKU-1523,SPORTS,1502.52,39
SKU-1524,HOME,585.9,94
SKU-1525,GROCERY,118.64,196
SKU-1526,ELECTRONICS,4122.48,47
SKU-1527,APPAREL,1097.41,118
SKU-1528,SPORTS,2159.67,55
SKU-1529,HOME,1199.31,111
SKU-1530,GROCERY,21.73,217
SKU-1531,ELECTRONICS,3774.0,56
SKU-1532,APPAREL,584.63,149
SKU-1533,SPORTS,949.51,80
SKU-1534,HOME,401.93,122
SKU-1535,GROCERY,105.16,132
SKU-1536,ELECTRONICS,5535.21,67
SKU-1537,APPAREL,845.75,96
SKU-1538,SPORTS,2006.63,59
SKU-1539,HOME,767.77,95
SKU-1540,GROCERY,34.09,168
SKU-1541,ELECTRONICS,4028.63,63
SKU-1542,APPAREL,1182.25,158
SKU-1543,SPORTS,1750.2,47
SKU-1544,HOME,791.07,130
SKU-1545,GROCERY,81.1,199
SKU-1546,ELECTRONICS,4900.77,22
SKU-1547,APPAREL,953.45,153
SKU-1548,SPORTS,589.11,67
SKU-1549,HOME,459.39,103
SKU-1550,GROCERY,29.32,153
SKU-1551,ELECTRONICS,4889.87,76
SKU-1552,APPAREL,1462.94,127
SKU-1553,SPORTS,1403.95,64
SKU-1554,HOME,1013.52,82
SKU-1555,GROCERY,110.55,243
SKU-1556,ELECTRONICS,5830.4,38
SKU-1557,APPAREL,1170.53,103
SKU-1558,SPORTS,2069.31,89
SKU-1559,HOME,1159.18,68
SKU-1560,GROCERY,92.96,177
SKU-1561,ELECTRONICS,5272.73,66
SKU-1562,APPAREL,1076.73,110
SKU-1563,SPORTS,2427.99,76
SKU-1564,HOME,199.33,100
SKU-1565,GROCERY,11.53,257
SKU-1566,ELECTRONICS,1442.66,43
SKU-1567,APPAREL,1074.68,146
SKU-1568,SPORTS,876.76,78
SKU-1569,HOME,1004.66,97
SKU-1570,GROCERY,21.92,179
SKU-1571,ELECTRONICS,3251.68,59
SKU-1572,APPAREL,1349.51,131
SKU-1573,SPORTS,1021.61,58
SKU-1574,HOME,812.42,131
SKU-1575,GROCERY,100.62,299
SKU-1576,ELECTRONICS,2371.39,46
SKU-1577,APPAREL,351.68,65
SKU-1578,SPORTS,2381.78,68
SKU-1579,HOME,1195.52,64
SKU-1580,GROCERY,20.69,257
SKU-1581,ELECTRONICS,1505.45,49
SKU-1582,APPAREL,682.31,155
SKU-1583,SPORTS,1832.26,99
SKU-1584,HOME,561.04,69
SKU-1585,GROCERY,107.4,287
SKU-1586,ELECTRONICS,1314.91,51
SKU-1587,APPAREL,1000.35,95
SKU-1588,SPORTS,371.98,77
SKU-1589,HOME,339.0,106
SKU-1590,GROCERY,114.56,212
SKU-1591,ELECTRONICS,1316.64,63
SKU-1592,APPAREL,677.54,142
SKU-1593,SPORTS,1089.08,80
SKU-1594,HOME,403.47,65
SKU-1595,GROCERY,114.39,236
SKU-1596,ELECTRONICS,1276.7,33
SKU-1597,APPAREL,1034.22,136
SKU-1598,SPORTS,2436.41,36
SKU-1599,HOME,965.47,81
SKU-1600,GROCERY,118.77,264
SKU-1601,ELECTRONICS,1867.07,73
SKU-1602,APPAREL,1194.7,86
SKU-1603,SPORTS,1590.04,59
SKU-1604,HOME,461.42,68
SKU-1605,GROCERY,96.75,272
SKU-1606,ELECTRONICS,814.74,74
SKU-1607,APPAREL,1479.24,76
SKU-1608,SPORTS,1488.47,52
SKU-1609,HOME,220.92,53
SKU-1610,GROCERY,24.5,211
SKU-1611,ELECTRONICS,4907.92,35
SKU-1612,APPAREL,965.51,62
SKU-1613,SPORTS,683.34,36
SKU-1614,HOME,239.43,103
SKU-1615,GROCERY,67.87,136
SKU-1616,ELECTRONICS,3276.48,69
SKU-1617,APPAREL,670.65,135
SKU-1618,SPORTS,539.92,94
SKU-1619,HOME,343.7,128
SKU-1620,GROCERY,14.77,288
SKU-1621,ELECTRONICS,3511.55,49
SKU-1622,APPAREL,1036.34,63
SKU-1623,SPORTS,433.82,91
SKU-1624,HOME,1032.03,104
SKU-1625,GROCERY,85.47,245
SKU-1626,ELECTRONICS,4504.49,48
SKU-1627,APPAREL,295.54,70
SKU-1628,SPORTS,1008.65,48
SKU-1629,HOME,172.25,85
SKU-1630,GROCERY,78.67,269
SKU-1631,ELECTRONICS,3651.45,40
SKU-1632,APPAREL,695.18,136
SKU-1633,SPORTS,1467.23,88
SKU-1634,HOME,656.11,105
SKU-1635,GROCERY,20.91,299
SKU-1636,ELECTRONICS,1394.95,61
SKU-1637,APPAREL,1046.19,158
SKU-1638,SPORTS,1512.94,57
SKU-1639,HOME,573.08,79
SKU-1640,GROCERY,55.52,236
SKU-1641,ELECTRONICS,2873.4,66
SKU-1642,APPAREL,323.61,114
SKU-1643,SPORTS,987.55,62
SKU-1644,HOME,511.73,69
SKU-1645,GROCERY,85.55,241
SKU-1646,ELECTRONICS,1149.09,73
SKU-1647,APPAREL,310.97,115
SKU-1648,SPORTS,512.44,77
SKU-1649,HOME,992.95,121
SKU-1650,GROCERY,16.6,263
SKU-1651,ELECTRONICS,3720.75,62
SKU-1652,APPAREL,358.9,105
SKU-1653,SPORTS,2221.94,84
SKU-1654,HOME,1054.9,56
SKU-1655,GROCERY,116.52,273
SKU-1656,ELECTRONICS,2424.73,26
SKU-1657,APPAREL,951.29,87
SKU-1658,SPORTS,640.41,91
SKU-1659,HOME,346.67,63
SKU-1660,GROCERY,48.51,262
SKU-1661,ELECTRONICS,2711.32,68
SKU-1662,APPAREL,562.14,88
SKU-1663,SPORTS,2075.89,33
SKU-1664,HOME,769.89,134
SKU-1665,GROCERY,101.24,188
SKU-1666,ELECTRONICS,950.56,37
SKU-1667,APPAREL,1113.51,99
SKU-1668,SPORTS,2327.38,74
SKU-1669,HOME,106.72,68
SKU-1670,GROCERY,72.3,222
SKU-1671,ELECTRONICS,1161.84,67
SKU-1672,APPAREL,1023.12,63
SKU-1673,SPORTS,501.87,97
SKU-1674,HOME,336.65,103
SKU-1675,GROCERY,59.9,160
SKU-1676,ELECTRONICS,2724.28,66
SKU-1677,APPAREL,621.7,132
SKU-1678,SPORTS,1611.69,36
SKU-1679,HOME,271.14,129
SKU-1680,GROCERY,15.47,140
SKU-1681,ELECTRONICS,2214.93,62
SKU-1682,APPAREL,751.22,137
SKU-1683,SPORTS,1272.5,64
SKU-1684,HOME,337.13,115
SKU-1685,GROCERY,22.52,230
SKU-1686,ELECTRONICS,1376.63,63
SKU-1687,APPAREL,1082.03,122
SKU-1688,SPORTS,1459.26,69
SKU-1689,HOME,149.96,100
SKU-1690,GROCERY,118.29,134
SKU-1691,ELECTRONICS,839.97,39
SKU-1692,APPAREL,1428.92,158
SKU-1693,SPORTS,601.92,62
SKU-1694,HOME,418.39,65
SKU-1695,GROCERY,10.85,230
SKU-1696,ELECTRONICS,1713.61,44
SKU-1697,APPAREL,892.36,89
SKU-1698,SPORTS,1400.58,75
SKU-1699,HOME,179.28,55
SKU-1700,GROCERY,57.98,237
SKU-1701,ELECTRONICS,5590.04,75
SKU-1702,APPAREL,606.98,114
SKU-1703,SPORTS,1561.48,83
SKU-1704,HOME,418.47,101
SKU-1705,GROCERY,12.29,203
SKU-1706,ELECTRONICS,1693.74,80
SKU-1707,APPAREL,1003.56,148
SKU-1708,SPORTS,2323.49,41
SKU-1709,HOME,580.38,63
SKU-1710,GROCERY,36.76,270
